"id","email","friendlist_id","image","name","password","password_salt"
"b8f5c852-2d34-47fe-a760-2aa9b313029e","mai@example.com","[{""S"":""295ac0a7-bba9-4b73-9d42-2c04c8f2f1d1""}]","","mai","a9fdfa5b920b85f3836956efbeb0654a6ba65be11fd6c69fcaf19b989efe9216a0ac09bed3c958b86ff57302659f7d34b1f6115ab59eaee2865e8523914eb6c6","e35b30249c8508b86d2595cb04e06a1a91f3063d9fcbf61430fb52233ac2a4a6"
"a6e80ab9-7190-41ed-bcc9-d87df006ee6c","jane@example.com","[{""S"":""cd0ba635-4ca1-4545-9021-016109d9e9d2""}]","https://example.com/jane.jpg","Jane Smith","",""
"362ab0a7-e2e5-4f84-aa3f-95c68fe16b05","testuser2@example.com","[]","https://example.com/mac.jpg","Test User2","63c648024e735cf5d2b76e915a14f867b2264cc35e137f3fa1da7552b33b35f7620797b7322ff1c65523b265a35319fd2aa1bb1f52d751c9c25a87914c8de021","ba173cd72d8ad9b7205dbf8b1e45713bcc433a9257b5788cd2125fc07baf73f2"
"d2bf3e03-3e1e-412f-9ea7-e79f2f15d789","ariana@example.com","[{""S"":""bae4eef4-403c-47a1-bdc9-d683d07b4992""},{""S"":""818d08dc-a204-4c74-9d51-782e85ce8dba""},{""S"":""295ac0a7-bba9-4b73-9d42-2c04c8f2f1d1""}]","https://example.com/mac.jpg","Ariana","563d7861b1ed18bd1f5134098bdc7cb498dc7a6159a6fe14aca78870141de761de4050026e220e40329b76076993ee45e856bcf8d3c4b5bbd019aa8cb9902069","30071508793120a705a7a7784e8a8efd46714703fde7c34f0adf2ca371281390"
"cd0ba635-4ca1-4545-9021-016109d9e9d2","James@example.com","[{""S"":""a6e80ab9-7190-41ed-bcc9-d87df006ee6c""}]","https://example.com/James.jpg","James Potter","",""
"818d08dc-a204-4c74-9d51-782e85ce8dba","miley@example.com","[{""S"":""bae4eef4-403c-47a1-bdc9-d683d07b4992""},{""S"":""295ac0a7-bba9-4b73-9d42-2c04c8f2f1d1""},{""S"":""d2bf3e03-3e1e-412f-9ea7-e79f2f15d789""}]","https://example.com/mac.jpg","Miley BB","a2a352786940bd311f8aee416cbf4c591d472448b5d7beb93ecca64d7cfc10baaeee3b341f1422727c66c139ba305396f4731a87dd4ce923a6121dc5046314c3","b6133f97d7043e2bc4f94aabdaff178e4011aa1034a8fa546461dc13e22167f7"
"cecd3654-f30a-4b97-8b87-53212a02337d","mac.updated@example.com","[{""S"":""3b97f080-fd39-408d-a481-9607843c828a""},{""S"":""bae4eef4-403c-47a1-bdc9-d683d07b4992""}]","https://example.com/mac.jpg","Mac Mac Baby","bb74dd7dc20a49c5b57333c7eac6a192170555a86e4da004897dd7ebc00fbd8ac8169f41c803ec8a7f63c2cb533dcd22cf707e736cf727a99b36284dfacbd22b","49390722ebf4bb8c84a14ed1c73e6a99b8720488b336b706ac233d7f440f2baf"
"a736376b-f9ec-4433-a6a2-94b76f72611a","hhhhhhhhh@example.com","[]","","hhhhhhhhh","96ac1602eac10a5fd3efee73aea5f61f56799667d4bc35e9ce6921b9f25ebe2a771e72d487a9c4041196fbc32705a2c251ce885c0d8f8cd3298e395f4e54403e","2ab5957462c00e5f1a65de58a060ca7837b22ac195fedf3633a209d4a3577f97"
"bae4eef4-403c-47a1-bdc9-d683d07b4992","test@example.com","[{""S"":""cecd3654-f30a-4b97-8b87-53212a02337d""},{""S"":""d2bf3e03-3e1e-412f-9ea7-e79f2f15d789""},{""S"":""818d08dc-a204-4c74-9d51-782e85ce8dba""}]","https://example.com/mac.jpg","TestTEst","57dd11fbacd18f00c3331244f07c9f57523363c038ad09b35141d586a47391c578166c709fbffc230155b29bd8fb5837742f542e87fd6a7a609a85524d703755","cc8a011cc5bdbc3be40d8988faf8539d6f84509aac452271993b6d7643a05688"
"a4497cc1-9870-4e63-aef4-a7f18822c4da","john.updated@example.com","[]","https://example.com/john.jpg","John Doe Updated","",""
"73e97142-c5a8-4226-964c-468726ce96e5","john.updated2@example.com","[]","https://example.com/john.jpg","thanhha","",""
"3b97f080-fd39-408d-a481-9607843c828a","sirius@example.com","[]","https://example.com/sirius.jpg","Sirius BB","f4368988c763f7108ce564eb1a7e579df0328a5aab19915c5b0ad2324f630aa70ee03202209d2871afd08eb38adb486367c3b5051863bb91c8c92cc2aa3c7151","050e7fb648b18d82e128067063b09ccd169ddec5a02c1cf7f30e907e37771424"
"295ac0a7-bba9-4b73-9d42-2c04c8f2f1d1","matteo_robert@example.com","[{""S"":""818d08dc-a204-4c74-9d51-782e85ce8dba""},{""S"":""d2bf3e03-3e1e-412f-9ea7-e79f2f15d789""},{""S"":""b8f5c852-2d34-47fe-a760-2aa9b313029e""}]","","matteo robert","9dad4ef982dded449d1e0c4f0be0dcf288d557da166f0d6344807e9c030fc175210ac0743348e7d9aa8991166cdeb99487c9b36e6723d0e8714d53b192584032","5bc641c452fb3cfb60b75adc11a4368daa56a6741c1ff43ce2fc3a7da2a28afc"
